,Race,Age,Gender,Location,Year,Count,Population
439,Asian,15–19,M,A8,2011,2.0,15.0
440,Asian,15–19,M,A8,2012,1.0,17.0
441,Asian,15–19,M,A8,2013,0.0,22.0
442,Asian,15–19,M,A8,2014,0.0,25.0
443,Asian,15–19,M,A8,2015,3.0,27.0
444,Asian,15–19,M,G1,2010,0.0,9.0
445,Asian,15–19,M,G1,2011,0.0,11.0
446,Asian,15–19,M,G1,2012,0.0,8.0
447,Asian,15–19,M,G1,2013,1.0,11.0
448,Asian,15–19,M,G1,2014,1.0,11.0
449,Asian,15–19,M,G1,2015,1.0,8.0
450,Asian,15–19,M,G4,2010,3.0,93.0
451,Asian,15–19,M,G4,2011,1.0,105.0
452,Asian,15–19,M,G4,2012,1.0,112.0
453,Asian,15–19,M,G4,2013,0.0,107.0
454,Asian,15–19,M,G4,2014,1.0,118.0
455,Asian,15–19,M,G4,2015,6.0,115.0
456,Asian,15–19,M,C1,2010,4.0,32.0
457,Asian,15–19,M,C1,2011,1.0,35.0
458,Asian,15–19,M,C1,2012,0.0,34.0
459,Asian,15–19,M,C1,2013,3.0,35.0
460,Asian,15–19,M,C1,2014,4.0,36.0
461,Asian,15–19,M,C1,2015,1.0,37.0
462,Asian,15–19,M,A7,2010,2.0,11.0
463,Asian,15–19,M,A7,2011,0.0,11.0
464,Asian,15–19,M,A7,2012,1.0,10.0
465,Asian,15–19,M,A7,2013,0.0,11.0
466,Asian,15–19,M,A7,2014,1.0,11.0
467,Asian,15–19,M,A7,2015,3.0,12.0
468,Asian,15–19,M,D5,2010,7.0,71.0
469,Asian,15–19,M,D5,2011,6.0,65.0
470,Asian,15–19,M,D5,2012,8.0,63.0
471,Asian,15–19,M,D5,2013,3.0,69.0
472,Asian,15–19,M,D5,2014,4.0,71.0
473,Asian,15–19,M,D5,2015,2.0,91.0
474,Asian,15–19,M,H2,2010,0.0,27.0
475,Asian,15–19,M,H2,2011,3.0,36.0
476,Asian,15–19,M,H2,2012,0.0,32.0
477,Asian,15–19,M,H2,2013,8.0,30.0
478,Asian,15–19,M,H2,2014,2.0,25.0
479,Asian,15–19,M,H2,2015,1.0,32.0
480,Asian,15–19,M,H3,2010,2.0,132.0
481,Asian,15–19,M,H3,2011,7.0,143.0
482,Asian,15–19,M,H3,2012,6.0,150.0
483,Asian,15–19,M,H3,2013,9.0,155.0
484,Asian,15–19,M,H3,2014,6.0,177.0
485,Asian,15–19,M,H3,2015,7.0,187.0
486,Asian,15–19,M,C7,2010,8.0,533.0
487,Asian,15–19,M,C7,2011,2.0,568.0
488,Asian,15–19,M,C7,2012,3.0,608.0
489,Asian,15–19,M,C7,2013,1.0,634.0
490,Asian,15–19,M,C7,2014,8.0,660.0
491,Asian,15–19,M,C7,2015,0.0,688.0
492,Asian,15–19,M,E6,2010,5.0,119.0
493,Asian,15–19,M,E6,2011,6.0,127.0
494,Asian,15–19,M,E6,2012,9.0,136.0
495,Asian,15–19,M,E6,2013,2.0,147.0
496,Asian,15–19,M,E6,2014,10.0,167.0
497,Asian,15–19,M,E6,2015,6.0,170.0
498,Asian,15–19,M,C5,2010,1.0,29.0
499,Asian,15–19,M,C5,2011,3.0,28.0
500,Asian,15–19,M,C5,2012,1.0,25.0
501,Asian,15–19,M,C5,2013,2.0,27.0
502,Asian,15–19,M,C5,2014,1.0,30.0
503,Asian,15–19,M,C5,2015,5.0,36.0
504,Asian,15–19,M,B8,2010,9.0,33.0
505,Asian,15–19,M,B8,2011,3.0,37.0
506,Asian,15–19,M,B8,2012,2.0,41.0
507,Asian,15–19,M,B8,2013,1.0,38.0
508,Asian,15–19,M,B8,2014,3.0,39.0
509,Asian,15–19,M,B8,2015,3.0,37.0
510,Asian,15–19,M,E3,2010,13.0,51.0
511,Asian,15–19,M,E3,2011,13.0,55.0
512,Asian,15–19,M,E3,2012,7.0,49.0
513,Asian,15–19,M,E3,2013,8.0,46.0
514,Asian,15–19,M,E3,2014,8.0,52.0
515,Asian,15–19,M,E3,2015,9.0,52.0
516,Asian,15–19,M,F5,2010,28.0,347.0
517,Asian,15–19,M,F5,2011,24.0,334.0
518,Asian,15–19,M,F5,2012,29.0,300.0
519,Asian,15–19,M,F5,2013,18.0,288.0
520,Asian,15–19,M,F5,2014,22.0,298.0
521,Asian,15–19,M,F5,2015,26.0,308.0
522,Asian,15–19,M,E2,2010,10.0,104.0
523,Asian,15–19,M,E2,2011,7.0,91.0
524,Asian,15–19,M,E2,2012,5.0,85.0
525,Asian,15–19,M,E2,2013,9.0,85.0
526,Asian,15–19,M,E2,2014,5.0,71.0
527,Asian,15–19,M,E2,2015,7.0,76.0
528,Asian,15–19,M,C4,2010,2.0,19.0
529,Asian,15–19,M,C4,2011,1.0,17.0
